,Model,Position,Weight,Pressure,Temperature
0,LPS33HW,0,0,1008.27, 22.32
1,LPS33HW,0,0,1008.29, 22.32
2,LPS33HW,0,0,1008.28, 22.32
3,LPS33HW,0,0,1008.26, 22.32
4,LPS33HW,0,0,1008.27, 22.33
5,LPS33HW,0,0,1008.28, 22.32
6,LPS33HW,0,0,1008.28, 22.33
7,LPS33HW,0,0,1008.26, 22.32
8,LPS33HW,0,0,1008.27, 22.32
9,LPS33HW,0,0,1008.27, 22.32
10,LPS33HW,0,0,1008.28, 22.32
11,LPS33HW,0,0,1008.26, 22.33
12,LPS33HW,0,0,1008.29, 22.33
13,LPS33HW,0,0,1008.29, 22.32
14,LPS33HW,0,0,1008.26, 22.33
15,LPS33HW,0,0,1008.29, 22.32
16,LPS33HW,0,0,1008.28, 22.33
17,LPS33HW,0,0,1008.29, 22.32
18,LPS33HW,0,0,1008.26, 22.33
19,LPS33HW,0,0,1008.28, 22.33
20,LPS33HW,0,0,1008.28, 22.32
21,LPS33HW,0,0,1008.27, 22.33
22,LPS33HW,0,0,1008.28, 22.33
23,LPS33HW,0,0,1008.26, 22.33
24,LPS33HW,0,0,1008.27, 22.33
25,LPS33HW,0,0,1008.31, 22.33
26,LPS33HW,0,0,1008.27, 22.32
27,LPS33HW,0,0,1008.26, 22.33
28,LPS33HW,0,0,1008.27, 22.33
29,LPS33HW,0,0,1008.30, 22.33
30,LPS33HW,0,0,1008.26, 22.33
31,LPS33HW,0,0,1008.25, 22.33
32,LPS33HW,0,0,1008.27, 22.32
33,LPS33HW,0,0,1008.26, 22.33
34,LPS33HW,0,0,1008.30, 22.33
35,LPS33HW,0,0,1008.28, 22.33
36,LPS33HW,0,0,1008.28, 22.33
37,LPS33HW,0,0,1008.28, 22.33
38,LPS33HW,0,0,1008.29, 22.33
39,LPS33HW,0,0,1008.28, 22.33
40,LPS33HW,0,0,1008.29, 22.33
41,LPS33HW,0,0,1008.29, 22.33
42,LPS33HW,0,0,1008.28, 22.33
43,LPS33HW,0,0,1008.29, 22.33
44,LPS33HW,0,0,1008.27, 22.33
45,LPS33HW,0,0,1008.29, 22.33
46,LPS33HW,0,0,1008.26, 22.32
47,LPS33HW,0,0,1008.29, 22.33
48,LPS33HW,0,0,1008.26, 22.33
49,LPS33HW,0,0,1008.27, 22.32
50,LPS33HW,0,0,1008.28, 22.32
51,LPS33HW,0,0,1008.28, 22.33
52,LPS33HW,0,0,1008.29, 22.33
53,LPS33HW,0,0,1008.28, 22.33
54,LPS33HW,0,0,1008.29, 22.33
55,LPS33HW,0,0,1008.30, 22.33
56,LPS33HW,0,0,1008.30, 22.33
57,LPS33HW,0,0,1008.28, 22.33
58,LPS33HW,0,0,1008.27, 22.33
59,LPS33HW,0,0,1008.29, 22.32
60,LPS33HW,0,0,1008.27, 22.33
61,LPS33HW,0,0,1008.29, 22.33
62,LPS33HW,0,0,1008.29, 22.32
63,LPS33HW,0,0,1008.28, 22.32
64,LPS33HW,0,0,1008.26, 22.33
65,LPS33HW,0,0,1008.25, 22.33
66,LPS33HW,0,0,1008.30, 22.32
67,LPS33HW,0,0,1008.29, 22.33
68,LPS33HW,0,0,1008.30, 22.33
69,LPS33HW,0,0,1008.31, 22.33
70,LPS33HW,0,0,1008.27, 22.33
71,LPS33HW,0,0,1008.29, 22.33
72,LPS33HW,0,0,1008.27, 22.33
73,LPS33HW,0,0,1008.30, 22.33
74,LPS33HW,0,0,1008.26, 22.33
75,LPS33HW,0,0,1008.27, 22.33
76,LPS33HW,0,0,1008.29, 22.33
77,LPS33HW,0,0,1008.27, 22.33
78,LPS33HW,0,0,1008.28, 22.32
79,LPS33HW,0,0,1008.26, 22.33
80,LPS33HW,0,0,1008.26, 22.33
81,LPS33HW,0,0,1008.26, 22.33
