,Model,Position,Weight,Pressure,Temperature
0,LPS,0,0,1018.93, 22.06
1,LPS,0,0,1018.92, 22.05
2,LPS,0,0,1018.88, 22.06
3,LPS,0,0,1018.89, 22.05
4,LPS,0,0,1018.91, 22.05
5,LPS,0,0,1018.93, 22.06
6,LPS,0,0,1018.94, 22.06
7,LPS,0,0,1018.93, 22.06
8,LPS,0,0,1018.95, 22.06
9,LPS,0,0,1018.93, 22.06
10,LPS,0,0,1018.95, 22.06
11,LPS,0,0,1018.89, 22.06
12,LPS,0,0,1018.90, 22.06
13,LPS,0,0,1018.91, 22.05
14,LPS,0,0,1018.91, 22.06
15,LPS,0,0,1018.92, 22.06
16,LPS,0,0,1018.92, 22.06
17,LPS,0,0,1018.92, 22.06
18,LPS,0,0,1018.91, 22.05
19,LPS,0,0,1018.90, 22.05
20,LPS,0,0,1018.92, 22.06
21,LPS,0,0,1018.91, 22.05
22,LPS,0,0,1018.89, 22.06
23,LPS,0,0,1018.94, 22.05
24,LPS,0,0,1018.89, 22.06
25,LPS,0,0,1018.91, 22.06
26,LPS,0,0,1018.90, 22.05
27,LPS,0,0,1018.93, 22.06
28,LPS,0,0,1018.94, 22.06
29,LPS,0,0,1018.93, 22.06
30,LPS,0,0,1018.91, 22.06
31,LPS,0,0,1018.89, 22.05
32,LPS,0,0,1018.88, 22.06
33,LPS,0,0,1018.92, 22.06
34,LPS,0,0,1018.94, 22.05
35,LPS,0,0,1018.89, 22.05
36,LPS,0,0,1018.87, 22.05
37,LPS,0,0,1018.90, 22.06
38,LPS,0,0,1018.89, 22.05
39,LPS,0,0,1018.89, 22.06
40,LPS,0,0,1018.90, 22.06
41,LPS,0,0,1018.92, 22.06
42,LPS,0,0,1018.92, 22.06
43,LPS,0,0,1018.93, 22.05
44,LPS,0,0,1018.88, 22.06
45,LPS,0,0,1018.92, 22.05
46,LPS,0,0,1018.88, 22.05
47,LPS,0,0,1018.90, 22.06
48,LPS,0,0,1018.89, 22.05
49,LPS,0,0,1018.87, 22.05
50,LPS,0,0,1018.91, 22.06
51,LPS,0,0,1018.92, 22.06
52,LPS,0,0,1018.92, 22.06
53,LPS,0,0,1018.91, 22.06
54,LPS,0,0,1018.87, 22.05
55,LPS,0,0,1018.91, 22.05
56,LPS,0,0,1018.90, 22.05
57,LPS,0,0,1018.90, 22.05
58,LPS,0,0,1018.90, 22.05
59,LPS,0,0,1018.88, 22.05
60,LPS,0,0,1018.90, 22.05
61,LPS,0,0,1018.89, 22.05
62,LPS,0,0,1018.89, 22.06
63,LPS,0,0,1018.92, 22.06
64,LPS,0,0,1018.90, 22.05
65,LPS,0,0,1018.90, 22.06
66,LPS,0,0,1018.89, 22.05
67,LPS,0,0,1018.89, 22.05
68,LPS,0,0,1018.89, 22.05
69,LPS,0,0,1018.91, 22.06
70,LPS,0,0,1018.86, 22.05
71,LPS,0,0,1018.90, 22.05
72,LPS,0,0,1018.89, 22.05
73,LPS,0,0,1018.91, 22.06
74,LPS,0,0,1018.89, 22.05
75,LPS,0,0,1018.88, 22.05
76,LPS,0,0,1018.90, 22.05
77,LPS,0,0,1018.88, 22.06
78,LPS,0,0,1018.94, 22.06
79,LPS,0,0,1018.88, 22.05
80,LPS,0,0,1018.89, 22.05
81,LPS,0,0,1018.87, 22.06
82,LPS,0,0,1018.92, 22.06
83,LPS,0,0,1018.92, 22.05
84,LPS,0,0,1018.89, 22.05
85,LPS,0,0,1018.89, 22.06
86,LPS,0,0,1018.92, 22.06
87,LPS,0,0,1018.90, 22.05
88,LPS,0,0,1018.90, 22.05
89,LPS,0,0,1018.87, 22.06
90,LPS,0,0,1018.90, 22.06
91,LPS,0,0,1018.88, 22.06
92,LPS,0,0,1018.92, 22.06
93,LPS,0,0,1018.91, 22.05
94,LPS,0,0,1018.90, 22.06
95,LPS,0,0,1018.92, 22.06
96,LPS,0,0,1018.93, 22.05
97,LPS,0,0,1018.90, 22.06
98,LPS,0,0,1018.91, 22.05
99,LPS,0,0,1018.87, 22.06
100,LPS,0,35,1018.92, 22.05
101,LPS,0,35,1020.41, 22.04
102,LPS,0,35,1020.37, 22.05
103,LPS,0,35,1020.42, 22.05
104,LPS,0,35,1020.41, 22.04
105,LPS,0,35,1020.39, 22.05
106,LPS,0,35,1020.38, 22.05
107,LPS,0,35,1020.39, 22.05
108,LPS,0,35,1020.41, 22.05
109,LPS,0,35,1020.38, 22.05
110,LPS,0,35,1020.36, 22.04
111,LPS,0,35,1020.38, 22.05
112,LPS,0,35,1020.39, 22.05
113,LPS,0,35,1020.36, 22.05
114,LPS,0,35,1020.41, 22.05
115,LPS,0,35,1020.41, 22.05
116,LPS,0,35,1020.42, 22.05
117,LPS,0,35,1020.39, 22.04
118,LPS,0,35,1020.39, 22.05
119,LPS,0,35,1020.40, 22.04
120,LPS,0,35,1020.40, 22.05
121,LPS,0,35,1020.40, 22.05
122,LPS,0,35,1020.40, 22.05
123,LPS,0,35,1020.41, 22.05
124,LPS,0,35,1020.41, 22.05
125,LPS,0,35,1020.43, 22.05
126,LPS,0,35,1020.41, 22.05
127,LPS,0,35,1020.42, 22.05
128,LPS,0,35,1020.41, 22.05
129,LPS,0,35,1020.42, 22.05
130,LPS,0,35,1020.41, 22.05
131,LPS,0,35,1020.41, 22.05
132,LPS,0,35,1020.41, 22.04
133,LPS,0,35,1020.39, 22.04
134,LPS,0,35,1020.41, 22.04
135,LPS,0,35,1020.41, 22.05
136,LPS,0,35,1020.43, 22.05
137,LPS,0,35,1020.39, 22.04
138,LPS,0,35,1020.41, 22.04
139,LPS,0,35,1020.41, 22.05
140,LPS,0,35,1020.44, 22.06
141,LPS,0,35,1020.45, 22.05
142,LPS,0,35,1020.43, 22.05
143,LPS,0,35,1020.41, 22.05
144,LPS,0,35,1020.43, 22.04
145,LPS,0,35,1020.38, 22.05
146,LPS,0,35,1020.41, 22.05
147,LPS,0,35,1020.39, 22.05
148,LPS,0,35,1020.43, 22.04
149,LPS,0,35,1020.41, 22.04
150,LPS,0,35,1020.43, 22.05
151,LPS,0,35,1020.43, 22.05
152,LPS,0,35,1020.43, 22.05
153,LPS,0,35,1020.42, 22.05
154,LPS,0,35,1020.43, 22.05
155,LPS,0,35,1020.41, 22.05
156,LPS,0,35,1020.46, 22.05
157,LPS,0,35,1020.42, 22.04
158,LPS,0,35,1020.42, 22.05
159,LPS,0,35,1020.41, 22.05
160,LPS,0,35,1020.43, 22.05
161,LPS,0,35,1020.43, 22.04
162,LPS,0,35,1020.43, 22.04
163,LPS,0,35,1020.42, 22.05
164,LPS,0,35,1020.46, 22.05
165,LPS,0,35,1020.46, 22.04
166,LPS,0,35,1020.42, 22.05
167,LPS,0,35,1020.43, 22.05
168,LPS,0,35,1020.43, 22.04
169,LPS,0,35,1020.44, 22.04
170,LPS,0,35,1020.41, 22.05
171,LPS,0,35,1020.43, 22.04
172,LPS,0,35,1020.42, 22.04
173,LPS,0,35,1020.44, 22.05
174,LPS,0,35,1020.42, 22.04
175,LPS,0,35,1020.43, 22.04
176,LPS,0,35,1020.41, 22.04
177,LPS,0,35,1020.46, 22.04
178,LPS,0,35,1020.41, 22.05
179,LPS,0,35,1020.46, 22.05
180,LPS,0,35,1020.42, 22.05
181,LPS,0,35,1020.46, 22.04
182,LPS,0,35,1020.44, 22.04
183,LPS,0,35,1020.45, 22.05
184,LPS,0,35,1020.45, 22.04
185,LPS,0,35,1020.44, 22.05
186,LPS,0,35,1020.43, 22.04
187,LPS,0,35,1020.46, 22.04
188,LPS,0,35,1020.45, 22.04
189,LPS,0,35,1020.44, 22.04
190,LPS,0,35,1020.43, 22.04
191,LPS,0,35,1020.44, 22.04
192,LPS,0,35,1020.44, 22.05
193,LPS,0,35,1020.44, 22.05
194,LPS,0,35,1020.44, 22.05
195,LPS,0,35,1020.47, 22.04
196,LPS,0,35,1020.46, 22.04
197,LPS,0,35,1020.45, 22.05
198,LPS,0,35,1020.47, 22.05
199,LPS,0,35,1020.47, 22.04
200,LPS,0,0,1020.49, 22.04
201,LPS,0,0,1018.96, 22.04
202,LPS,0,0,1018.98, 22.04
203,LPS,0,0,1018.94, 22.04
204,LPS,0,0,1018.98, 22.04
205,LPS,0,0,1018.98, 22.04
206,LPS,0,0,1018.98, 22.04
207,LPS,0,0,1018.99, 22.04
208,LPS,0,0,1018.98, 22.04
209,LPS,0,0,1018.97, 22.04
210,LPS,0,0,1018.97, 22.04
211,LPS,0,0,1018.99, 22.04
212,LPS,0,0,1018.94, 22.04
213,LPS,0,0,1018.94, 22.04
214,LPS,0,0,1018.94, 22.04
215,LPS,0,0,1018.96, 22.04
216,LPS,0,0,1018.97, 22.04
217,LPS,0,0,1018.94, 22.04
218,LPS,0,0,1018.95, 22.04
219,LPS,0,0,1018.96, 22.04
220,LPS,0,0,1018.97, 22.04
221,LPS,0,0,1018.94, 22.04
222,LPS,0,0,1018.95, 22.04
223,LPS,0,0,1018.96, 22.05
224,LPS,0,0,1018.96, 22.04
225,LPS,0,0,1018.98, 22.04
226,LPS,0,0,1018.92, 22.04
227,LPS,0,0,1018.94, 22.04
228,LPS,0,0,1018.93, 22.04
229,LPS,0,0,1018.94, 22.04
230,LPS,0,0,1018.96, 22.04
231,LPS,0,0,1018.92, 22.04
232,LPS,0,0,1018.95, 22.04
233,LPS,0,0,1018.93, 22.04
234,LPS,0,0,1018.95, 22.03
235,LPS,0,0,1018.90, 22.04
236,LPS,0,0,1018.92, 22.03
237,LPS,0,0,1018.88, 22.04
238,LPS,0,0,1018.89, 22.04
239,LPS,0,0,1018.91, 22.04
240,LPS,0,0,1018.90, 22.04
241,LPS,0,0,1018.94, 22.04
242,LPS,0,0,1018.91, 22.04
243,LPS,0,0,1018.90, 22.04
244,LPS,0,0,1018.93, 22.04
245,LPS,0,0,1018.89, 22.04
246,LPS,0,0,1018.93, 22.04
247,LPS,0,0,1018.92, 22.04
248,LPS,0,0,1018.92, 22.04
249,LPS,0,0,1018.94, 22.04
250,LPS,0,0,1018.90, 22.04
251,LPS,0,0,1018.92, 22.04
252,LPS,0,0,1018.89, 22.04
253,LPS,0,0,1018.92, 22.04
254,LPS,0,0,1018.93, 22.04
255,LPS,0,0,1018.90, 22.04
256,LPS,0,0,1018.93, 22.04
257,LPS,0,0,1018.90, 22.04
258,LPS,0,0,1018.90, 22.04
259,LPS,0,0,1018.92, 22.04
260,LPS,0,0,1018.89, 22.04
261,LPS,0,0,1018.89, 22.04
262,LPS,0,0,1018.88, 22.04
263,LPS,0,0,1018.89, 22.04
264,LPS,0,0,1018.90, 22.04
265,LPS,0,0,1018.89, 22.04
266,LPS,0,0,1018.91, 22.04
267,LPS,0,0,1018.89, 22.04
268,LPS,0,0,1018.90, 22.04
269,LPS,0,0,1018.90, 22.04
270,LPS,0,0,1018.88, 22.03
271,LPS,0,0,1018.90, 22.04
272,LPS,0,0,1018.89, 22.04
273,LPS,0,0,1018.90, 22.04
274,LPS,0,0,1018.88, 22.04
275,LPS,0,0,1018.86, 22.04
276,LPS,0,0,1018.89, 22.04
277,LPS,0,0,1018.89, 22.04
278,LPS,0,0,1018.88, 22.03
279,LPS,0,0,1018.88, 22.03
280,LPS,0,0,1018.88, 22.03
281,LPS,0,0,1018.86, 22.04
282,LPS,0,0,1018.86, 22.04
283,LPS,0,0,1018.87, 22.04
284,LPS,0,0,1018.86, 22.04
285,LPS,0,0,1018.87, 22.04
286,LPS,0,0,1018.86, 22.04
287,LPS,0,0,1018.87, 22.04
288,LPS,0,0,1018.89, 22.04
289,LPS,0,0,1018.87, 22.03
290,LPS,0,0,1018.87, 22.04
291,LPS,0,0,1018.87, 22.04
292,LPS,0,0,1018.87, 22.04
293,LPS,0,0,1018.89, 22.04
294,LPS,0,0,1018.85, 22.03
295,LPS,0,0,1018.85, 22.04
296,LPS,0,0,1018.87, 22.03
297,LPS,0,0,1018.85, 22.04
298,LPS,0,0,1018.89, 22.04
299,LPS,0,0,1018.89, 22.03
300,LPS,5,0,1018.87, 22.03
301,LPS,5,0,1018.83, 22.04
302,LPS,5,0,1018.85, 22.03
303,LPS,5,0,1018.83, 22.03
304,LPS,5,0,1018.82, 22.03
305,LPS,5,0,1018.82, 22.03
306,LPS,5,0,1018.83, 22.04
307,LPS,5,0,1018.85, 22.04
308,LPS,5,0,1018.86, 22.03
309,LPS,5,0,1018.87, 22.04
310,LPS,5,0,1018.86, 22.03
311,LPS,5,0,1018.83, 22.04
312,LPS,5,0,1018.81, 22.04
313,LPS,5,0,1018.85, 22.03
314,LPS,5,0,1018.83, 22.04
315,LPS,5,0,1018.86, 22.03
316,LPS,5,0,1018.84, 22.04
317,LPS,5,0,1018.84, 22.03
318,LPS,5,0,1018.82, 22.03
319,LPS,5,0,1018.85, 22.04
320,LPS,5,0,1018.82, 22.03
321,LPS,5,0,1018.84, 22.03
322,LPS,5,0,1018.85, 22.04
323,LPS,5,0,1018.84, 22.03
324,LPS,5,0,1018.83, 22.04
325,LPS,5,0,1018.80, 22.04
326,LPS,5,0,1018.84, 22.03
327,LPS,5,0,1018.84, 22.03
328,LPS,5,0,1018.82, 22.03
329,LPS,5,0,1018.85, 22.03
330,LPS,5,0,1018.83, 22.03
331,LPS,5,0,1018.83, 22.03
332,LPS,5,0,1018.82, 22.04
333,LPS,5,0,1018.84, 22.03
334,LPS,5,0,1018.83, 22.03
335,LPS,5,0,1018.82, 22.03
336,LPS,5,0,1018.81, 22.04
337,LPS,5,0,1018.83, 22.04
338,LPS,5,0,1018.85, 22.04
339,LPS,5,0,1018.79, 22.03
340,LPS,5,0,1018.81, 22.04
341,LPS,5,0,1018.81, 22.03
342,LPS,5,0,1018.84, 22.03
343,LPS,5,0,1018.81, 22.03
344,LPS,5,0,1018.80, 22.03
345,LPS,5,0,1018.81, 22.04
346,LPS,5,0,1018.83, 22.04
347,LPS,5,0,1018.83, 22.04
348,LPS,5,0,1018.84, 22.03
349,LPS,5,0,1018.82, 22.04
350,LPS,5,0,1018.83, 22.04
351,LPS,5,0,1018.84, 22.04
352,LPS,5,0,1018.82, 22.04
353,LPS,5,0,1018.85, 22.03
354,LPS,5,0,1018.81, 22.03
355,LPS,5,0,1018.80, 22.04
356,LPS,5,0,1018.83, 22.03
357,LPS,5,0,1018.81, 22.04
358,LPS,5,0,1018.82, 22.03
359,LPS,5,0,1018.81, 22.03
360,LPS,5,0,1018.81, 22.03
361,LPS,5,0,1018.81, 22.03
362,LPS,5,0,1018.79, 22.03
363,LPS,5,0,1018.81, 22.03
364,LPS,5,0,1018.82, 22.04
365,LPS,5,0,1018.79, 22.03
