,Model,Position,Weight,Pressure,Temperature
0,MPL,0,0,140496.75, 21.94
1,MPL,0,0,140496.75, 21.87
2,MPL,0,0,140479.75, 21.94
3,MPL,0,0,140503.00, 21.94
4,MPL,0,0,140511.75, 22.00
5,MPL,0,0,140515.50, 22.00
6,MPL,0,0,140522.25, 22.00
7,MPL,0,0,140524.75, 22.00
8,MPL,0,0,140517.00, 22.00
9,MPL,0,0,140523.00, 22.00
10,MPL,0,0,140528.25, 22.00
11,MPL,0,0,140524.00, 22.00
12,MPL,0,0,140528.00, 22.00
13,MPL,0,0,140528.75, 22.00
14,MPL,0,0,140531.25, 22.06
15,MPL,0,0,140533.25, 22.00
16,MPL,0,0,140531.75, 22.06
17,MPL,0,0,140537.25, 22.06
18,MPL,0,0,140534.75, 22.06
19,MPL,0,0,140535.25, 22.06
20,MPL,0,0,140537.25, 22.06
21,MPL,0,0,140534.50, 22.06
22,MPL,0,0,140537.50, 22.06
23,MPL,0,0,140535.50, 22.06
24,MPL,0,0,140537.75, 22.06
25,MPL,0,0,140539.75, 22.06
26,MPL,0,0,140537.00, 22.06
27,MPL,0,0,140540.00, 22.06
28,MPL,0,0,140545.00, 22.06
29,MPL,0,0,140542.00, 22.06
30,MPL,0,0,140543.25, 22.06
31,MPL,0,0,140546.00, 22.06
32,MPL,0,0,140543.50, 22.06
33,MPL,0,0,140544.75, 22.06
34,MPL,0,0,140546.00, 22.06
35,MPL,0,0,140542.25, 22.06
36,MPL,0,0,140543.25, 22.06
37,MPL,0,0,140541.50, 22.06
38,MPL,0,0,140541.00, 22.06
39,MPL,0,0,140544.50, 22.06
40,MPL,0,0,140547.25, 22.06
41,MPL,0,0,140545.50, 22.06
42,MPL,0,0,140547.50, 22.06
43,MPL,0,0,140547.00, 22.06
44,MPL,0,0,140548.25, 22.06
45,MPL,0,0,140547.25, 22.06
46,MPL,0,0,140548.50, 22.12
47,MPL,0,0,140552.75, 22.06
48,MPL,0,0,140545.25, 22.06
49,MPL,0,0,140544.50, 22.06
50,MPL,0,0,140544.25, 22.06
51,MPL,0,0,140548.00, 22.12
52,MPL,0,0,140552.50, 22.12
53,MPL,0,0,140553.00, 22.12
54,MPL,0,0,140553.00, 22.06
55,MPL,0,0,140546.25, 22.06
56,MPL,0,0,140550.75, 22.06
57,MPL,0,0,140551.75, 22.06
